mediator,head,fold,domain,user_id,ccc,srocc,plcc,eff_dof
emotion,mlp,3,art,82,0.521633501933447,0.5566603414036984,0.545949892865586,
emotion,mlp,3,art,84,0.13110730769061738,0.12131059885714607,0.13278021378881433,
emotion,mlp,3,art,88,0.520879533599658,0.5269266428926674,0.5426714010947585,
emotion,mlp,3,art,95,0.28092304658677003,0.2588929127829441,0.3180314179918193,
emotion,mlp,3,art,96,0.59133493612809,0.5682346888275164,0.6164996282894829,
emotion,mlp,3,art,107,0.34500971678796827,0.33124765748437884,0.36931212257224466,
emotion,mlp,3,art,122,0.5054082926654004,0.4590629568472142,0.5355521138700694,
emotion,mlp,3,art,123,0.35143898041910865,0.307453015346331,0.35735566845969546,
emotion,mlp,3,art,132,0.38942083596989335,0.3816050625660103,0.39568811342318044,
emotion,mlp,3,art,140,0.41929591724046533,0.4199134578914295,0.43275514571699963,
emotion,mlp,3,art,141,0.289804102044176,0.3031568087721266,0.29405037577986,
emotion,mlp,3,fashion,0,0.026257961845477056,0.07350745155058443,0.02627421539754989,
emotion,mlp,3,fashion,9,0.11071399192628084,0.08448278826552906,0.1171421232259729,
emotion,mlp,3,fashion,10,0.39706422895092924,0.4376902203800788,0.43778225126827913,
emotion,mlp,3,fashion,11,0.45806757861479835,0.49413557627860705,0.4671592380755847,
emotion,mlp,3,fashion,24,0.06646027897817963,0.08930101382270371,0.0683513493140549,
emotion,mlp,3,fashion,28,0.19608727518568456,0.21153806836643438,0.20919951564620487,
emotion,mlp,3,fashion,31,0.08795382195289136,0.09692597338340196,0.11538080170528592,
emotion,mlp,3,fashion,32,0.09365675525282025,0.0714606596994269,0.1178232137361034,
emotion,mlp,3,fashion,36,-0.10975941305308357,-0.08912033346428173,-0.1275356889179762,
emotion,mlp,3,fashion,42,0.1265373660892886,0.11276490931660331,0.1304717793079955,
emotion,mlp,3,fashion,47,0.30100788303590736,0.263097480825432,0.32920644390155257,
emotion,mlp,3,fashion,54,-0.03773205947449017,-0.03164117136131083,-0.04487932145943843,
emotion,mlp,3,fashion,55,0.07630952855198546,0.08222757345993227,0.08901871831305763,
emotion,mlp,3,fashion,59,0.28126608969434125,0.23211682548145532,0.2995586522568807,
emotion,mlp,3,fashion,60,0.1059274794795154,0.14387669575073317,0.11128637842256005,
emotion,mlp,3,fashion,67,0.02715968263636956,0.046578243063083134,0.028082790695880027,
emotion,mlp,3,fashion,68,0.28769360125343507,0.3135315658011772,0.29675461078652815,
emotion,mlp,3,fashion,75,0.21284928662172756,0.21129321190052205,0.22200866441199987,
emotion,mlp,3,fashion,76,0.23026098364324396,0.24557829701340436,0.2501851037582866,
emotion,mlp,3,fashion,82,0.20363297435662864,0.23133851853738166,0.22708695864570183,
emotion,mlp,3,fashion,84,0.220568790952094,0.2576003912115337,0.2568628265466393,
emotion,mlp,3,fashion,88,0.11245519124575305,0.1781736008017142,0.14322199829077353,
emotion,mlp,3,fashion,95,0.010287563497556001,-1.6342189262228784e-05,0.014994618616026365,
emotion,mlp,3,fashion,96,0.06625901691695163,0.0740117225276214,0.07031763701452594,
emotion,mlp,3,fashion,107,0.0895983716891176,0.08696696767647383,0.09113730135115393,
emotion,mlp,3,fashion,122,0.21026454012730392,0.17826949027331665,0.23183039213532708,
emotion,mlp,3,fashion,123,0.18917334251916595,0.17900798281982888,0.19868552759549438,
emotion,mlp,3,fashion,132,0.18815461758500787,0.19182244129786377,0.23095189645013006,
emotion,mlp,3,fashion,140,0.29866302337147327,0.36001440809140933,0.34133874893850247,
emotion,mlp,3,fashion,141,0.10800964576570556,0.10726221446088831,0.11045490793777474,
emotion,mlp,3,landscape,0,0.10846524728520839,0.1627939927511733,0.11531299254846648,
