backbone,head,variant,stage1,n_train,mediator,fold,domain,user_id,seed,srocc,plcc,ccc,eff_dof,recorded_at,experiment
qwen8b,mlp,C,mean,100,shuffled,0,art,57,2,0.5542649225048523,0.5105807611674009,0.5068644779225085,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,pca,0,art,57,2,0.5609862658419417,0.5224689387958207,0.5056585119014716,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion,0,art,57,2,0.5306036081555867,0.557970478894209,0.5190226019199117,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_mlp,0,art,57,2,0.4178161882551613,0.4842349277085693,0.46909082700510024,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_joint,0,art,57,2,0.539346819000581,0.5416887637915054,0.5116369555836462,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,population,0,art,62,2,0.4378090334700523,0.42414030866828717,0.28324894170929255,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,identity,0,art,62,2,0.37791541906660653,0.3509565214866951,0.3458889776782523,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,random,0,art,62,2,0.36639930914844193,0.3489371259060002,0.28667585154242453,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,shuffled,0,art,62,2,0.5052324120507595,0.5451691686930111,0.3855725880184692,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,pca,0,art,62,2,0.4414016660513601,0.4406965990326707,0.34391171118750624,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion,0,art,62,2,0.42747406303067387,0.4267950177142768,0.3805715290823438,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_mlp,0,art,62,2,0.4122668922413026,0.4143952595736979,0.35507581429097707,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_joint,0,art,62,2,0.34627072386412855,0.3364161762641139,0.27471701242524144,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,population,0,art,63,2,0.15291202445235264,0.18731907042965776,0.151936248789964,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,identity,0,art,63,2,0.18594702809836014,0.2336233577124526,0.20233518832310718,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,random,0,art,63,2,-0.007107531087474329,0.09656040908910471,0.08181469067448217,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,shuffled,0,art,63,2,0.13774595459668562,0.21091202550068505,0.16878089894556209,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,pca,0,art,63,2,-0.08278772125832776,0.019435729120486543,0.015056779175419787,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion,0,art,63,2,0.04209460313074585,0.16182110153439608,0.09089837890642104,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_mlp,0,art,63,2,0.17468509503722118,0.2230327059901731,0.15097129392120187,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_joint,0,art,63,2,0.09790373807816753,0.23437581972149577,0.16143308891081787,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,population,0,art,79,2,0.36242299259521243,0.37389978798976226,0.3462360905784725,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,identity,0,art,79,2,0.18171980344009597,0.22131921771447133,0.18684687781303386,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,random,0,art,79,2,0.5552747224558345,0.5558651884075051,0.5189913356507658,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,shuffled,0,art,79,2,0.5456168867485287,0.5537870291516019,0.4862950108382923,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,pca,0,art,79,2,0.5171516867691011,0.5419008248543858,0.4894418858334507,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion,0,art,79,2,0.5427195360363369,0.5099601364726335,0.4360002692072923,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_mlp,0,art,79,2,0.5183716239110765,0.5080157375791958,0.43869976084217266,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_joint,0,art,79,2,0.4502076361031972,0.4415071391153575,0.3982096085071062,,2026-08-22,efficiency
