mediator,head,fold,domain,user_id,ccc,srocc,plcc,eff_dof
emotion,mlp,2,landscape,46,-0.054196048426503864,-0.08937681998846357,-0.06641720195811956,
emotion,mlp,2,landscape,52,0.03709739623089694,0.10581142104923098,0.05018673443815424,
emotion,mlp,2,landscape,58,0.25355815583508057,0.26341205480649704,0.28711456146539566,
emotion,mlp,2,landscape,65,0.0318733477977736,0.08323352307129317,0.029488243959518868,
emotion,mlp,2,landscape,66,0.1792193814663817,0.16910445155072976,0.21483805510611467,
emotion,mlp,2,landscape,74,-0.023001738285258273,-0.011262714037205001,-0.026436546155715137,
emotion,mlp,2,landscape,83,0.14994697709011987,0.11975614760367803,0.1672439925636681,
emotion,mlp,2,landscape,87,0.31986916520665293,0.3443058692901729,0.3369566807017887,
emotion,mlp,2,landscape,93,0.22299556836083825,0.3008519764529513,0.28740957603261535,
emotion,mlp,2,landscape,94,0.2277571263648932,0.17103381177795662,0.2556618484918343,
emotion,mlp,2,landscape,102,0.2982538833598609,0.4010575400590957,0.33580490260431134,
emotion,mlp,2,landscape,112,0.23670333957182668,0.1916656190439171,0.2784281100572085,
emotion,mlp,2,landscape,113,0.09176726243057816,0.08576492680647889,0.10271887500741496,
emotion,mlp,2,landscape,120,0.19302647500678213,0.15090430411461223,0.20877945526208289,
emotion,mlp,2,landscape,121,0.20486960271443264,0.2380908765753291,0.21604855591483083,
emotion,mlp,2,landscape,131,0.10344821631308963,0.15556761954503676,0.15428493189414882,
emotion,mlp,2,landscape,138,0.4496507748670879,0.427490509804277,0.458703426730821,
emotion,mlp,2,landscape,139,0.1964564864256351,0.20011864644928753,0.22091987687965256,
emotion,mlp,3,art,0,0.29140232360236346,0.20059309312173199,0.3024115854923158,
emotion,mlp,3,art,9,0.1456012190630764,0.12259377746526111,0.139858083032466,
emotion,mlp,3,art,10,0.30138596358970143,0.3755197709154084,0.34062544907482634,
emotion,mlp,3,art,11,0.2696496841379337,0.3091055999804198,0.32054287315159524,
emotion,mlp,3,art,24,0.0852780020122252,0.10079890135648506,0.10183192176453341,
emotion,mlp,3,art,28,0.22028599085285583,0.2708350222313339,0.2779157315189127,
emotion,mlp,3,art,31,0.15628339070185127,0.19731180542921808,0.1702057355817561,
emotion,mlp,3,art,32,0.10402344123694478,0.1243234477673053,0.16500428954433566,
emotion,mlp,3,art,36,0.1111242671026345,0.10179236571559243,0.12595053909598666,
emotion,mlp,3,art,42,-0.01805269633540636,-0.03146193350506509,-0.007745770812574808,
emotion,mlp,3,art,47,0.1649212943874113,0.15295813628050217,0.17219641247590345,
emotion,mlp,3,art,54,0.27636496366796065,0.2417456571006736,0.28903607119617336,
emotion,mlp,3,art,55,0.06680913696651576,0.09557571350875767,0.07453151412099436,
emotion,mlp,3,art,59,0.03756106073530874,0.09950643810202013,0.052551313475010325,
emotion,mlp,3,art,60,0.39083594486508844,0.43727572732727266,0.437566677258983,
emotion,mlp,3,art,67,0.15864048092099428,0.1346397207085997,0.1658374693219861,
emotion,mlp,3,art,68,0.34855685162262245,0.35080146549298,0.4216118681684131,
emotion,mlp,3,art,75,0.12964066527382456,0.12566739064396776,0.14833504277579299,
emotion,mlp,3,art,76,0.23753695312639508,0.21159023993202733,0.2538301183211507,
emotion,mlp,3,art,82,0.23903724451462752,0.2699324179195925,0.2418040372150918,
emotion,mlp,3,art,84,0.18735161994282365,0.14450034105362508,0.1934297258117245,
emotion,mlp,3,art,88,0.3118122204200395,0.37915190646873614,0.3865995581074104,
emotion,mlp,3,art,95,0.2449877887223896,0.2683078053963562,0.3306565222312333,
emotion,mlp,3,art,96,0.49298218422502676,0.47950227864075784,0.5082741766152366,
emotion,mlp,3,art,107,0.20880333695291733,0.20408015142182148,0.22982728901694563,
emotion,mlp,3,art,122,0.4438962541516034,0.42862793413755046,0.5077320425115308,
emotion,mlp,3,art,123,0.2643918608819949,0.24374089284799716,0.28901094730260374,
emotion,mlp,3,art,132,0.07864037028582503,0.05514676637099397,0.10348197792619375,
emotion,mlp,3,art,140,0.2225715780568224,0.22100708310075243,0.23525299888479181,
emotion,mlp,3,art,141,0.22858372114435113,0.18004430356570356,0.23288545412926212,
emotion,mlp,3,fashion,0,0.16374349769310223,0.20404596915613268,0.16696210357211935,
emotion,mlp,3,fashion,9,-0.0743610860925596,-0.1459681461569437,-0.0877958795067395,
emotion,mlp,3,fashion,10,0.12798900398975746,0.14275565758527944,0.18136271360263798,
emotion,mlp,3,fashion,11,0.1947982187423566,0.18619962418294922,0.21113574080241407,
emotion,mlp,3,fashion,24,0.05525907401027924,0.09653604966482089,0.05825916568431686,
emotion,mlp,3,fashion,28,-0.007555008700664528,0.003281495703109566,0.006059295462482961,
