fold,domain,emotion,srocc,plcc
3,fashion,intellectual,0.33865281895460864,0.3404657222602864
3,fashion,motivated,0.40359255391037263,0.41591312809884007
3,fashion,amused,0.43977052220533913,0.4708346991578461
3,fashion,nostalgic,0.35918411756731056,0.377414313629187
3,fashion,sad,0.26463182185083844,0.33268390356846433
3,fashion,distasteful,0.5039846373888773,0.5747521065946647
3,landscape,impressed,0.6563732604261993,0.6862960719926133
3,landscape,intellectual,0.5543692854012575,0.5930806481274478
3,landscape,motivated,0.6364422232533319,0.6489177689019705
3,landscape,amused,0.7262144649311147,0.7316111796804993
3,landscape,nostalgic,0.6547813113013347,0.6749102544391471
3,landscape,sad,0.4699578527749368,0.5194371299727635
3,landscape,distasteful,0.5436276797551647,0.5735762356549755
4,art,impressed,0.6512636463333664,0.6793064590572502
4,art,intellectual,0.41461792643341433,0.4641343136746195
4,art,motivated,0.4289648837539611,0.45664468427707344
4,art,amused,0.7044774505682464,0.7110110040495204
4,art,nostalgic,0.6815992198575976,0.723575841468066
4,art,sad,0.5466034521345411,0.5596311985899768
4,art,distasteful,0.6589489340093807,0.6742438497587309
4,fashion,impressed,0.46864934940378267,0.48497392963941777
4,fashion,intellectual,0.2969416944813106,0.314115920082011
4,fashion,motivated,0.31019648933609706,0.3321695843196531
4,fashion,amused,0.5070933364602763,0.5411176655139655
4,fashion,nostalgic,0.3181997456229639,0.34023662157871293
4,fashion,sad,0.21489449179954198,0.26745697252772355
4,fashion,distasteful,0.5437670285386857,0.5814780859913679
4,landscape,impressed,0.642652031946226,0.6487359066537638
4,landscape,intellectual,0.5084527097278756,0.5499761790429447
4,landscape,motivated,0.5309550030104546,0.5094882444099387
4,landscape,amused,0.6853112577288853,0.6768449630143674
4,landscape,nostalgic,0.5854215091584026,0.6604790224953815
4,landscape,sad,0.43320041460399633,0.46394572608647694
4,landscape,distasteful,0.5457008066113942,0.5694302877528802
