fold,domain,user_id,mediator,head,eff_dof,ccc,srocc,plcc,seed
0,landscape,86,pca8,ridge,7.734647613367811,0.4099695283985987,0.5929975410408154,0.5506579058890156,0
0,landscape,86,random8,ridge,0.0007999064686173139,2.9456881914475666e-05,0.26166638963596534,0.2631691956670657,0
0,landscape,86,shuffled8,ridge,4.4092052108723845,0.21122173572169856,0.44345188810584046,0.4340814822619513,0
0,landscape,98,pca8,ridge,7.7379128773091574,0.43739789825463515,0.5766768072525228,0.580519128172551,0
0,landscape,98,random8,ridge,0.0007999001368288583,-4.612139197004597e-06,0.06914412990184285,-0.06070648889356818,0
0,landscape,98,shuffled8,ridge,4.322071534407304,0.22361662214664074,0.40959899869967115,0.3981848639869411,0
0,landscape,99,pca8,ridge,7.737298262813814,0.5284093653916271,0.6186504835413411,0.6025312665715695,0
0,landscape,99,random8,ridge,0.0007999040479846162,2.9669969771333488e-05,0.49877289656146373,0.5013906584121484,0
0,landscape,99,shuffled8,ridge,4.441927166857259,0.27129895366830264,0.5203821516369554,0.4774080907776595,0
0,landscape,105,pca8,ridge,7.737739772393392,0.13826010649182593,0.22143657212032253,0.2883636495286583,0
0,landscape,105,random8,ridge,0.0007999071562250946,1.5133969350754312e-05,0.12851631938342029,0.16393503294557804,0
0,landscape,105,shuffled8,ridge,4.333275626612997,-0.017774213092888923,-0.08981623567349278,-0.06824856898173548,0
0,landscape,109,pca8,ridge,7.741979220232935,0.20651133837596825,0.24644663377631618,0.2733617446808367,0
0,landscape,109,random8,ridge,0.0007999048694239398,1.9733862041377556e-05,0.23820677671996518,0.23165513373282412,0
0,landscape,109,shuffled8,ridge,4.386111133939298,0.13642267955604837,0.33119231513769576,0.34773427322110195,0
0,landscape,110,pca8,ridge,7.745893407323327,0.5838437999864611,0.6539875795868726,0.6417602130987485,0
0,landscape,110,random8,ridge,0.0007999011836967273,4.644535576234712e-05,0.4355885835990852,0.3395893644919076,0
0,landscape,110,shuffled8,ridge,4.517667611886555,0.5339873288731731,0.7227726809997315,0.7020558337915249,0
0,landscape,116,pca8,ridge,7.739995621262149,0.3315057064202245,0.4208996262766066,0.4959896566068392,0
0,landscape,116,random8,ridge,0.0007999077972963728,2.2586879082917413e-06,0.1078865821147457,0.04345404604841199,0
0,landscape,116,shuffled8,ridge,4.412313269654369,0.15555571595043363,0.3679703068556506,0.3801560512434068,0
0,landscape,117,pca8,ridge,7.719569131315435,0.5284994164238024,0.6043102381013007,0.5869441636500734,0
0,landscape,117,random8,ridge,0.0007999004750817477,2.2615377676304367e-05,0.26471371986301123,0.23248479482700085,0
0,landscape,117,shuffled8,ridge,4.496693911458637,0.2595496187448651,0.45767316796750135,0.46009252659770505,0
0,landscape,126,pca8,ridge,7.736111607441027,0.28753803638684433,0.30394039878650586,0.2904916103264368,0
0,landscape,126,random8,ridge,0.0007999070116648665,3.228802620648248e-05,0.2520577677771478,0.2839023891484987,0
0,landscape,126,shuffled8,ridge,4.323792523602478,0.2064511207267194,0.27827059086560557,0.32609399064926237,0
0,landscape,127,pca8,ridge,7.733746896411321,0.26238621228803405,0.21288822895883444,0.29514201417941494,0
0,landscape,127,random8,ridge,0.0007999041115029146,2.280114327977842e-05,0.2807875975062101,0.16038267360674335,0
0,landscape,127,shuffled8,ridge,4.442011576512426,0.18687429244546017,0.3398390281795217,0.30836081398408144,0
0,landscape,136,pca8,ridge,7.740463067702105,0.3002295135340364,0.3046438260891681,0.3924902345195439,0
0,landscape,136,random8,ridge,0.0007999026195338317,3.763185037269139e-05,0.3879737542486848,0.4024276197115761,0
0,landscape,136,shuffled8,ridge,4.3920637498134045,0.24981007919153506,0.44372687165037583,0.5084200846229279,0
0,landscape,144,pca8,ridge,7.7282892160510235,0.3549089513570005,0.342996881603675,0.39139559721468625,0
0,landscape,144,random8,ridge,0.0007999056323974894,3.1516053046627334e-05,0.3258855764989524,0.34944177973188734,0
0,landscape,144,shuffled8,ridge,4.328251188473995,0.26825322642612814,0.3054856121548836,0.39014843050401615,0
1,art,5,pca8,ridge,0.025214231657715237,0.0008572252568004666,0.30145450821453756,0.3017130360509367,0
1,art,5,random8,ridge,0.0007998929212152498,4.7637215680712856e-06,0.04495958182645896,0.09419339933917265,0
1,art,5,shuffled8,ridge,4.359882951554344,0.07792234182993954,0.17804608885033923,0.142917528893905,0
1,art,6,pca8,ridge,0.02521441971137104,0.0033694758138592914,0.6308066124126699,0.6033186782292481,0
