backbone,head,variant,stage1,n_train,mediator,fold,domain,user_id,seed,srocc,plcc,ccc,eff_dof,recorded_at,experiment
qwen8b,mlp,C,mean,100,population,0,art,99,2,0.734395995477067,0.7213234025211537,0.4451391097561864,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,99,2,0.7172481064439009,0.7160900407765012,0.7103124354492465,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,99,2,0.6200443501964072,0.6207753112391894,0.5383598689995314,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,99,2,0.7079212092927172,0.7019816721625248,0.6743379603043426,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,105,2,0.24620820144188424,0.26392522894617426,0.18204829114859195,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,105,2,0.2263326655030843,0.234041140853827,0.2039392195248614,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,105,2,0.18280524179711247,0.19214523413363266,0.1513553971392397,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,105,2,0.26747502489640024,0.2975998990894961,0.22136486151874943,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,109,2,0.49205329296635575,0.5247915975064394,0.38188989537942486,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,109,2,0.3637752019810939,0.35889960321209335,0.33597082776061205,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,109,2,0.4525169121220426,0.4837039373678495,0.3867601638153332,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,109,2,0.4587435124342712,0.4685647543745052,0.3912706834128273,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,110,2,0.43227691918861655,0.45109341143448756,0.2549902040125494,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,110,2,0.6081270876935435,0.5836680283804958,0.5708931357338607,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,110,2,0.4119272211383678,0.4444402319902359,0.3790733830028454,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,110,2,0.557972276337375,0.5639839757226919,0.5105399596783299,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,116,2,0.6660722426291443,0.6547991963346612,0.4017544063496896,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,116,2,0.5542652866982554,0.5729576873141704,0.5689776586674462,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,116,2,0.5449773267309386,0.5439363861178959,0.5257846910164596,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,116,2,0.5813258835760053,0.5911443386968633,0.5548149345443252,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,117,2,0.8158027862748104,0.8083837030777717,0.46462776444542614,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,117,2,0.6622917726341465,0.6792821491466163,0.6599273171681557,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,117,2,0.8117862249734273,0.7917355900335165,0.7431667079129167,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,117,2,0.7887644711728172,0.8053395357825707,0.7717270113860155,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,126,2,0.5165893674727466,0.49634666763191043,0.3787717422675466,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,126,2,0.5294893307092945,0.5307571943113103,0.4996859442698741,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,126,2,0.5443587539819564,0.57252992146006,0.4985533088859517,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,126,2,0.5156046374546895,0.55797681223024,0.4674873529037594,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,127,2,0.4590573347084167,0.47701567341639006,0.22580322220933893,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,127,2,0.588653317708409,0.5616780792696469,0.48679969442711907,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,127,2,0.5227021624066333,0.5498373210012526,0.47765607592973747,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,127,2,0.5398278716330616,0.59625922732215,0.5227068065337654,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,136,2,0.28355561823758263,0.35489811273687344,0.3279109039562637,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,136,2,0.44930860242670567,0.4790010773500275,0.47424266292316264,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,136,2,0.45228556429796646,0.49460792125032127,0.44382712644112243,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,136,2,0.505126637512844,0.5285410963223911,0.47434663909904634,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,art,144,2,0.6648481803012773,0.6566393127270588,0.16291548811686452,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,art,144,2,0.3402468159970778,0.3644359719025832,0.3616679774073983,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,art,144,2,0.5688040373467758,0.5979481920380684,0.5966885541609835,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,art,144,2,0.5570003513720776,0.5705024058214422,0.5665942957920111,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,fashion,3,2,0.49547650983154884,0.4943769079748805,0.27547873763759695,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,fashion,3,2,0.3223074696454225,0.3459044563185443,0.3058385134678122,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,fashion,3,2,0.3020920280442953,0.33822352104415193,0.20890113249054282,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,fashion,3,2,0.5326867957198982,0.5452486280008843,0.32017678571864366,,2026-08-22,table1
qwen8b,mlp,C,mean,100,population,0,fashion,14,2,0.47811307261659247,0.5111311990739511,0.19640247966714627,,2026-08-22,table1
qwen8b,mlp,C,mean,100,identity,0,fashion,14,2,0.5056134136873907,0.4491762470140342,0.3981926443691004,,2026-08-22,table1
qwen8b,mlp,C,mean,100,random,0,fashion,14,2,0.3546070765575611,0.44296246972372105,0.2866082852951133,,2026-08-22,table1
qwen8b,mlp,C,mean,100,pca,0,fashion,14,2,0.5754446369064534,0.5478943601331436,0.40168895125031623,,2026-08-22,table1
